model,query_id,split,query,relevant_input,relevant_resolved,relevant_count,predicted_top1,predicted_top1_score,p_correct,auto_accept,expected_rank,top1_correct,hit@1,hit@5,hit@10,mrr@10,ndcg@10,map@10,recall@10,s1,s2,gap12,gap1_5,mean90,std90,z1,z_gap,entropy_top10,top10_materials,top10_scores
intfloat/multilingual-e5-large,22,test,IfcPile BORED Bohrpfahl Beton 600 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,1,Tiefgründung Ortbetonbohrpfahl 700,0.904346,0.904346,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.904346,0.899835,0.004511,0.026546,0.822312,0.027546,2.978057,0.163768,2.302419,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonbohrpfahl 900 | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Bohrpfahlwand gespriesst | Baukleber Einbettmörtel mineralisch | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand unverankert,0.904346 | 0.899835 | 0.898925 | 0.879946 | 0.877800 | 0.870738 | 0.859069 | 0.858264 | 0.856678 | 0.856009
intfloat/multilingual-e5-large,23,test,IfcPile BORED Bohrpfahl Beton 700 Ortbeton,Tiefgründung Ortbetonbohrpfahl 700,Tiefgründung Ortbetonbohrpfahl 700,1,Tiefgründung Ortbetonbohrpfahl 700,0.920640,0.920640,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.920640,0.897796,0.022844,0.058033,0.821543,0.027503,3.603113,0.830592,2.302339,Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 1200 | Bohrpfahlbeton | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Bohrpfahlwand gespriesst | Baukleber Einbettmörtel mineralisch | Baugrubensicherung Bohrpfahlwand verankert | Baugrubensicherung Bohrpfahlwand unverankert,0.920640 | 0.897796 | 0.895361 | 0.878224 | 0.862606 | 0.860934 | 0.857137 | 0.856245 | 0.855018 | 0.854359
intfloat/multilingual-e5-large,24,test,IfcFooting STRIP_FOOTING Fundament Magerbeton Ortbeton,Magerbeton,Magerbeton,1,Tiefgründung Ortbetonbohrpfahl 900,0.864263,0.864263,False,2,False,0.000000,1.000000,1.000000,0.500000,0.630930,0.500000,1.000000,0.864263,0.863941,0.000322,0.005198,0.818082,0.024334,1.897783,0.013244,2.302564,Tiefgründung Ortbetonbohrpfahl 900 | Magerbeton | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Vorgefertigter Betonpfahl | Baukleber Einbettmörtel mineralisch | Baukleber Einbettmörtel organisch | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.864263 | 0.863941 | 0.861238 | 0.860396 | 0.859065 | 0.857625 | 0.851914 | 0.848070 | 0.847133 | 0.847098
intfloat/multilingual-e5-large,25,test,IfcCovering Abdichtung Flüssigkunststoff,2K-Fliessbelag Epoxidharz,2K-Fliessbelag Epoxidharz,1,2K-Fliessbelag Epoxidharz,0.848108,0.848108,False,1,True,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.848108,0.847216,0.000893,0.004247,0.811163,0.021763,1.697637,0.041028,2.302581,2K-Fliessbelag Epoxidharz | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich | Baugrubensicherung Spundwand auskragend | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich | Sperrholz Multiplex Harnstoff-Formaldehyd-gebunden Trockenbereich | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Massivholz Fichte Tanne Lärche luftgetrocknet rau | Baugrubensicherung Spundwand gespriesst,0.848108 | 0.847216 | 0.847123 | 0.845277 | 0.843861 | 0.842960 | 0.842102 | 0.840682 | 0.840195 | 0.839245
intfloat/multilingual-e5-large,26,test,IfcWall RETAININGWALL Rühlwand Fertigteil,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Rühlwand verankert,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Rühlwand verankert,3,Baugrubensicherung Rühlwand auskragend,0.883561,0.883561,False,1,True,1.000000,1.000000,1.000000,1.000000,0.967468,0.916667,1.000000,0.883561,0.874504,0.009058,0.021441,0.819533,0.026328,2.431939,0.344031,2.302528,Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Rühlwand verankert | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Rühlwand gespriesst | Baugrubensicherung Spundwand verankert | Baugrubensicherung Spundwand gespriesst | Baugrubensicherung Bohrpfahlwand verankert | Betonfertigteil hochfest | Betonfertigteil normalfest | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich,0.883561 | 0.874504 | 0.869981 | 0.864333 | 0.862121 | 0.855720 | 0.855021 | 0.853122 | 0.850912 | 0.849234
intfloat/multilingual-e5-large,27,test,IfcWall RETAININGWALL Bohrpfahlwand Ortbeton,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Bohrpfahlwand verankert,Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert | Baugrubensicherung Bohrpfahlwand verankert,3,Baugrubensicherung Bohrpfahlwand verankert,0.888756,0.888756,False,1,True,1.000000,1.000000,1.000000,1.000000,0.906025,0.805556,1.000000,0.888756,0.880131,0.008625,0.014434,0.824635,0.028552,2.245777,0.302090,2.302562,Baugrubensicherung Bohrpfahlwand verankert | Bohrpfahlbeton | Baugrubensicherung Bohrpfahlwand gespriesst | Baugrubensicherung Bohrpfahlwand unverankert | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Baugrubensicherung Spundwand auskragend | Baugrubensicherung Rühlwand auskragend | Baugrubensicherung Spundwand verankert,0.888756 | 0.880131 | 0.876400 | 0.875987 | 0.874322 | 0.872982 | 0.872127 | 0.870343 | 0.865537 | 0.863781
intfloat/multilingual-e5-base,0,test,IfcReinforcingBar,Armierungsstahl,Armierungsstahl,1,Polyurethan PUR PIR,0.807261,0.807261,False,79,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.807261,0.807043,0.000219,0.003451,0.785211,0.013087,1.684959,0.016711,2.302584,Polyurethan PUR PIR | Stahlblech verzinkt | Polyester UP glasfaserverstärkt | Messing-/Baubronzeblech | Polyethylenfolie PE | Chromstahlblech verzinnt | Tiefgründung Ortbetonbohrpfahl 900 | Baukleber Einbettmörtel organisch | Tiefgründung Ortbetonbohrpfahl 700 | Baukleber Einbettmörtel mineralisch,0.807261 | 0.807043 | 0.806603 | 0.805596 | 0.803810 | 0.803481 | 0.803296 | 0.803100 | 0.803055 | 0.802357
intfloat/multilingual-e5-base,1,test,IfcReinforcingBar Bügel B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 700,0.851412,0.851412,False,88,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.851412,0.849539,0.001873,0.007832,0.807162,0.021671,2.041937,0.086430,2.302563,Tiefgründung Ortbetonbohrpfahl 700 | Baugrubensicherung Schlitzwand 400 | Tiefgründung Ortbetonbohrpfahl 900 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 1200 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Messing-/Baubronzeblech | Polyester UP glasfaserverstärkt | Tiefgründung Ortbetonverdrängungspfahl 660/580,0.851412 | 0.849539 | 0.849454 | 0.847628 | 0.843580 | 0.841067 | 0.837990 | 0.835225 | 0.834247 | 0.833193
intfloat/multilingual-e5-base,2,test,IfcReinforcingBar Längsstab B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.859668,0.859668,False,84,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.859668,0.854366,0.005302,0.015625,0.806133,0.022279,2.402965,0.237966,2.302553,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Polyester UP glasfaserverstärkt | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich,0.859668 | 0.854366 | 0.848084 | 0.845675 | 0.844042 | 0.842853 | 0.842122 | 0.838607 | 0.835407 | 0.831680
intfloat/multilingual-e5-base,3,test,IfcReinforcingBar SHEAR Bügel B500B,Armierungsstahl,Armierungsstahl,1,Baugrubensicherung Schlitzwand 400,0.842952,0.842952,False,87,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.842952,0.842808,0.000144,0.005086,0.799903,0.021740,1.980169,0.006608,2.302567,Baugrubensicherung Schlitzwand 400 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonbohrpfahl 1200 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Polyester UP glasfaserverstärkt | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich,0.842952 | 0.842808 | 0.841952 | 0.838214 | 0.837866 | 0.833210 | 0.831536 | 0.828911 | 0.827864 | 0.827181
intfloat/multilingual-e5-base,4,test,IfcReinforcingBar MAIN 1. Lage B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.846305,0.846305,False,85,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.846305,0.842583,0.003723,0.011458,0.801469,0.019162,2.339841,0.194269,2.302569,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Messing-/Baubronzeblech | Tiefgründung Ortbetonverdrängungspfahl 660/580 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Schlitzwand 800 | Polyester UP glasfaserverstärkt,0.846305 | 0.842583 | 0.837764 | 0.837457 | 0.834847 | 0.833138 | 0.832417 | 0.831792 | 0.828728 | 0.827012
intfloat/multilingual-e5-base,5,test,IfcReinforcingBar unterer Stab B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.857315,0.857315,False,71,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857315,0.855338,0.001977,0.017084,0.804384,0.021650,2.444871,0.091320,2.302549,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Polyester UP glasfaserverstärkt | Tiefgründung Ortbetonverdrängungspfahl 660/580 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Mikrobohrpfahl | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400,0.857315 | 0.855338 | 0.847309 | 0.846654 | 0.840231 | 0.839860 | 0.839631 | 0.837062 | 0.832782 | 0.830442
intfloat/multilingual-e5-base,6,test,IfcReinforcingBar 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.859757,0.859757,False,85,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.859757,0.855590,0.004167,0.013116,0.810050,0.020892,2.379249,0.199469,2.302561,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Polyester UP glasfaserverstärkt | Messing-/Baubronzeblech | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Schlitzwand 800,0.859757 | 0.855590 | 0.852360 | 0.852074 | 0.846642 | 0.843110 | 0.841570 | 0.840522 | 0.840214 | 0.839396
intfloat/multilingual-e5-base,7,test,IfcReinforcingBar MAIN 1. Lage aussen B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.857719,0.857719,False,88,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.857719,0.853366,0.004353,0.013830,0.806999,0.021401,2.370016,0.203409,2.302560,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 1200 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Messing-/Baubronzeblech | Polyester UP glasfaserverstärkt | Baugrubensicherung Schlitzwand 800,0.857719 | 0.853366 | 0.849330 | 0.848990 | 0.843889 | 0.843498 | 0.838200 | 0.837855 | 0.837519 | 0.836666
intfloat/multilingual-e5-base,8,test,IfcReinforcingBar Wendel unten B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.868688,0.868688,False,86,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.868688,0.867032,0.001655,0.015232,0.815405,0.022780,2.339029,0.072659,2.302548,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Polyester UP glasfaserverstärkt | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Aluminiumblech blank | Baugrubensicherung Schlitzwand 800,0.868688 | 0.867032 | 0.857669 | 0.856106 | 0.853456 | 0.850615 | 0.847888 | 0.845030 | 0.843993 | 0.843225
intfloat/multilingual-e5-base,9,test,IfcReinforcingBar Wendel mitte B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.864274,0.864274,False,85,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864274,0.862201,0.002073,0.012934,0.814373,0.022303,2.237416,0.092939,2.302561,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 1200 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Schlitzwand 800 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Schlitzwand 400 | Aluminiumblech blank | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich,0.864274 | 0.862201 | 0.852762 | 0.852004 | 0.851341 | 0.848048 | 0.847016 | 0.845782 | 0.844543 | 0.841971
intfloat/multilingual-e5-base,10,test,IfcReinforcingBar Wendel oben B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.865390,0.865390,False,86,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.865390,0.864631,0.000759,0.011223,0.815032,0.022609,2.227337,0.033576,2.302558,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Polyester UP glasfaserverstärkt | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Schlitzwand 800 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Schlitzwand 400,0.865390 | 0.864631 | 0.854572 | 0.854462 | 0.854167 | 0.852393 | 0.847222 | 0.845438 | 0.845362 | 0.843629
intfloat/multilingual-e5-base,11,test,IfcReinforcingBar Wendelbewehrung B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.864568,0.864568,False,81,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.864568,0.863887,0.000682,0.014004,0.810265,0.022213,2.444625,0.030694,2.302546,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich,0.864568 | 0.863887 | 0.852163 | 0.851702 | 0.850564 | 0.846570 | 0.843916 | 0.842627 | 0.839726 | 0.837532
intfloat/multilingual-e5-base,12,test,IfcReinforcingBar Längsarmierung B500B,Armierungsstahl,Armierungsstahl,1,Tiefgründung Ortbetonbohrpfahl 900,0.860714,0.860714,False,62,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.860714,0.857312,0.003402,0.015693,0.806190,0.023181,2.352115,0.146754,2.302545,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Schlitzwand 800 | Baugrubensicherung Schlitzwand 400 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Polyester UP glasfaserverstärkt | Polyamid PA glasfaserverstärkt,0.860714 | 0.857312 | 0.853198 | 0.850690 | 0.845021 | 0.842023 | 0.839577 | 0.837851 | 0.836963 | 0.832595
intfloat/multilingual-e5-base,13,test,IfcBeam GIRDER_SEGMENT Randbord Beton NPK G Test-Kommentar Ortbeton,Tiefbaubeton,Tiefbaubeton,1,OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich,0.846467,0.846467,False,17,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.846467,0.845769,0.000698,0.006120,0.809341,0.018780,1.976883,0.037159,2.302577,OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich | Magerbeton | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich | Tiefgründung Ortbetonbohrpfahl 700 | Betonfertigteil normalfest | Tiefgründung Ortbetonbohrpfahl 900 | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich | Sperrholz Multiplex Harnstoff-Formaldehyd-gebunden Trockenbereich,0.846467 | 0.845769 | 0.842950 | 0.841983 | 0.840348 | 0.838498 | 0.837144 | 0.836258 | 0.835314 | 0.834042
intfloat/multilingual-e5-base,14,test,IfcBeam EDGEBEAM Randbord Beton NPK G Randträger bewehrt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich,0.847870,0.847870,False,30,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.847870,0.845868,0.002003,0.004781,0.808394,0.023937,1.649145,0.083662,2.302577,Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonbohrpfahl 900 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonbohrpfahl 700 | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Baugrubensicherung Bohrpfahlwand verankert | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Baugrubensicherung Spundwand verankert,0.847870 | 0.845868 | 0.844318 | 0.843274 | 0.843090 | 0.843046 | 0.842932 | 0.836718 | 0.836313 | 0.835373
intfloat/multilingual-e5-base,15,test,IfcBeam PIERCAP Pfahlkopf Beton NPK G Pfahlkopf-Fundament Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Ortbetonbohrpfahl 900,0.863314,0.863314,False,19,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.863314,0.862706,0.000608,0.013374,0.805981,0.024499,2.340208,0.024808,2.302555,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Bohrpfahlbeton | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich,0.863314 | 0.862706 | 0.852899 | 0.852074 | 0.849940 | 0.847430 | 0.846468 | 0.844700 | 0.841143 | 0.838968
intfloat/multilingual-e5-base,16,test,IfcFooting STRIP_FOOTING Fundament Beton NPK G Ausführung Pilgerschritt Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich,0.855553,0.855553,False,19,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.855553,0.850911,0.004642,0.014479,0.805044,0.021036,2.401059,0.220654,2.302555,Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonbohrpfahl 700 | Tiefgründung Ortbetonbohrpfahl 900 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 1200 | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich | Betonfertigteil normalfest | Betonfertigteil hochfest | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich,0.855553 | 0.850911 | 0.850049 | 0.848392 | 0.841074 | 0.839870 | 0.837602 | 0.834563 | 0.833414 | 0.833378
intfloat/multilingual-e5-base,17,test,IfcSlab FLOOR Fahrbahnplatte Beton NPK D Brückenplatte Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Ortbetonbohrpfahl 900,0.861454,0.861454,False,11,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.861454,0.858248,0.003205,0.009966,0.812405,0.024308,2.017781,0.131854,2.302570,Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonbohrpfahl 700 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 560/480 | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Spanplatte Harnstoff-Formaldehyd-gebunden beschichtet Trockenbereich | Spanplatte Harnstoff-Formaldehyd-gebunden Trockenbereich | Tiefgründung Ortbetonbohrpfahl 1200 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Mitteldichte Faserplatte MDF Harnstoff-Formaldehyd-gebunden,0.861454 | 0.858248 | 0.857465 | 0.851871 | 0.851488 | 0.850109 | 0.850079 | 0.849371 | 0.844326 | 0.843974
intfloat/multilingual-e5-base,18,test,IfcWall RETAININGWALL Widerlagerwand Nord Beton NPK G über Pfahlkopfriegel Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Tiefgründung Ortbetonverdrängungspfahl 560/480,0.847698,0.847698,False,35,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.847698,0.846545,0.001154,0.002314,0.808965,0.024400,1.587417,0.047283,2.302583,Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 900 | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand verankert | Baugrubensicherung Nagelwand | Baugrubensicherung Bohrpfahlwand verankert | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonbohrpfahl 700,0.847698 | 0.846545 | 0.846389 | 0.845403 | 0.845384 | 0.845039 | 0.843360 | 0.842523 | 0.842523 | 0.842521
intfloat/multilingual-e5-base,19,test,IfcWall RETAININGWALL Widerlagerwand Süd Beton NPK G Süd Ortbeton,Tiefbaubeton,Tiefbaubeton,1,Baugrubensicherung Spundwand auskragend,0.853233,0.853233,False,33,False,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.853233,0.852830,0.000403,0.008706,0.809941,0.023216,1.864777,0.017361,2.302578,Baugrubensicherung Spundwand auskragend | Baugrubensicherung Spundwand verankert | Tiefgründung Ortbetonverdrängungspfahl 560/480 | Tiefgründung Ortbetonbohrpfahl 900 | Baugrubensicherung Rühlwand auskragend | OSB Platte Phenol-Formaldehyd-gebunden Feuchtbereich | Tiefgründung Ortbetonverdrängungspfahl 660/580 | Spanplatte Phenol-Formaldehyd-gebunden Feuchtbereich | Baugrubensicherung Spundwand gespriesst | Sperrholz Multiplex Phenol-Formaldehyd-gebunden Feuchtbereich,0.853233 | 0.852830 | 0.847476 | 0.847133 | 0.844527 | 0.844361 | 0.844284 | 0.843599 | 0.843295 | 0.842522
