index,entity,predefined_type,material,strength,exposure,diameter,casting_method,query,dedupe_key
1591,IfcColumn,PILASTER,Beton NPK E,C20/25,,,INSITU,IfcColumn PILASTER Beton NPK E C20/25 INSITU,IfcColumn PILASTER Beton NPK E C20/25 INSITU
1592,IfcColumn,PILASTER,Beton NPK E,C30/37,,,Fertigteil,IfcColumn PILASTER Beton NPK E C30/37 Fertigteil,IfcColumn PILASTER Beton NPK E C30/37 Fertigteil
1593,IfcColumn,PILASTER,Beton NPK E,C35/45,,,Fertigteil,IfcColumn PILASTER Beton NPK E C35/45 Fertigteil,IfcColumn PILASTER Beton NPK E C35/45 Fertigteil
1594,IfcColumn,PILASTER,Beton NPK E,C40/50,,,INSITU,IfcColumn PILASTER Beton NPK E C40/50 INSITU,IfcColumn PILASTER Beton NPK E C40/50 INSITU
1595,IfcColumn,PILASTER,Beton NPK F,,,,,IfcColumn PILASTER Beton NPK F,IfcColumn PILASTER Beton NPK F
1596,IfcColumn,PILASTER,Beton NPK F,C25/30,,,PRECAST,IfcColumn PILASTER Beton NPK F C25/30 PRECAST,IfcColumn PILASTER Beton NPK F C25/30 PRECAST
1597,IfcColumn,PILASTER,Beton NPK F,C40/50,,,Fertigteil,IfcColumn PILASTER Beton NPK F C40/50 Fertigteil,IfcColumn PILASTER Beton NPK F C40/50 Fertigteil
1598,IfcColumn,PILASTER,Stahlbeton,,,,,IfcColumn PILASTER Stahlbeton,IfcColumn PILASTER Stahlbeton
1599,IfcColumn,PILASTER,Stahlbeton,,,,Fertigteil,IfcColumn PILASTER Stahlbeton Fertigteil,IfcColumn PILASTER Stahlbeton Fertigteil
1600,IfcColumn,PILASTER,Stahlbeton,,,,INSITU,IfcColumn PILASTER Stahlbeton INSITU,IfcColumn PILASTER Stahlbeton INSITU
1601,IfcColumn,PILASTER,Stahlbeton,,,,Ortbeton,IfcColumn PILASTER Stahlbeton Ortbeton,IfcColumn PILASTER Stahlbeton Ortbeton
1602,IfcColumn,PILASTER,Stahlbeton,,,,PRECAST,IfcColumn PILASTER Stahlbeton PRECAST,IfcColumn PILASTER Stahlbeton PRECAST
1603,IfcColumn,PILASTER,Stahlbeton,C20/25,,,,IfcColumn PILASTER Stahlbeton C20/25,IfcColumn PILASTER Stahlbeton C20/25
1604,IfcColumn,PILASTER,Stahlbeton,C20/25,,,Fertigteil,IfcColumn PILASTER Stahlbeton C20/25 Fertigteil,IfcColumn PILASTER Stahlbeton C20/25 Fertigteil
1605,IfcColumn,PILASTER,Stahlbeton,C20/25,,,Ortbeton,IfcColumn PILASTER Stahlbeton C20/25 Ortbeton,IfcColumn PILASTER Stahlbeton C20/25 Ortbeton
1606,IfcColumn,PILASTER,Stahlbeton,C25/30,,,,IfcColumn PILASTER Stahlbeton C25/30,IfcColumn PILASTER Stahlbeton C25/30
1607,IfcColumn,PILASTER,Stahlbeton,C25/30,,,Ortbeton,IfcColumn PILASTER Stahlbeton C25/30 Ortbeton,IfcColumn PILASTER Stahlbeton C25/30 Ortbeton
1608,IfcColumn,PILASTER,Stahlbeton,C25/30,,,PRECAST,IfcColumn PILASTER Stahlbeton C25/30 PRECAST,IfcColumn PILASTER Stahlbeton C25/30 PRECAST
1609,IfcColumn,PILASTER,Stahlbeton,C30/37,,,,IfcColumn PILASTER Stahlbeton C30/37,IfcColumn PILASTER Stahlbeton C30/37
1610,IfcColumn,PILASTER,Stahlbeton,C30/37,,,INSITU,IfcColumn PILASTER Stahlbeton C30/37 INSITU,IfcColumn PILASTER Stahlbeton C30/37 INSITU
1611,IfcColumn,PILASTER,Stahlbeton,C30/37,,,PRECAST,IfcColumn PILASTER Stahlbeton C30/37 PRECAST,IfcColumn PILASTER Stahlbeton C30/37 PRECAST
1612,IfcColumn,PILASTER,Stahlbeton,C35/45,,,,IfcColumn PILASTER Stahlbeton C35/45,IfcColumn PILASTER Stahlbeton C35/45
1613,IfcColumn,PILASTER,Stahlbeton,C35/45,,,Fertigteil,IfcColumn PILASTER Stahlbeton C35/45 Fertigteil,IfcColumn PILASTER Stahlbeton C35/45 Fertigteil
1614,IfcColumn,PILASTER,Stahlbeton,C35/45,,,INSITU,IfcColumn PILASTER Stahlbeton C35/45 INSITU,IfcColumn PILASTER Stahlbeton C35/45 INSITU
1615,IfcColumn,PILASTER,Stahlbeton,C40/50,,,,IfcColumn PILASTER Stahlbeton C40/50,IfcColumn PILASTER Stahlbeton C40/50
1616,IfcColumn,PILASTER,Stahlbeton,C40/50,,,INSITU,IfcColumn PILASTER Stahlbeton C40/50 INSITU,IfcColumn PILASTER Stahlbeton C40/50 INSITU
1617,IfcColumn,PILASTER,Stahlbeton,C40/50,,,PRECAST,IfcColumn PILASTER Stahlbeton C40/50 PRECAST,IfcColumn PILASTER Stahlbeton C40/50 PRECAST
1618,IfcColumn,PILASTER,Stahlbeton NPK D,,,,,IfcColumn PILASTER Stahlbeton NPK D,IfcColumn PILASTER Stahlbeton NPK D
1619,IfcColumn,PILASTER,Stahlbeton NPK D,C30/37,,,PRECAST,IfcColumn PILASTER Stahlbeton NPK D C30/37 PRECAST,IfcColumn PILASTER Stahlbeton NPK D C30/37 PRECAST
1620,IfcColumn,PILASTER,Stahlbeton NPK D,C35/45,,,Fertigteil,IfcColumn PILASTER Stahlbeton NPK D C35/45 Fertigteil,IfcColumn PILASTER Stahlbeton NPK D C35/45 Fertigteil
1621,IfcColumn,PILASTER,Stahlbeton NPK D,C40/50,,,INSITU,IfcColumn PILASTER Stahlbeton NPK D C40/50 INSITU,IfcColumn PILASTER Stahlbeton NPK D C40/50 INSITU
1622,IfcColumn,PILASTER,Stahlbeton NPK E,,,,,IfcColumn PILASTER Stahlbeton NPK E,IfcColumn PILASTER Stahlbeton NPK E
1623,IfcColumn,PILASTER,Stahlbeton NPK E,C30/37,,,INSITU,IfcColumn PILASTER Stahlbeton NPK E C30/37 INSITU,IfcColumn PILASTER Stahlbeton NPK E C30/37 INSITU
1624,IfcColumn,PILASTER,Stahlbeton NPK E,C35/45,,,INSITU,IfcColumn PILASTER Stahlbeton NPK E C35/45 INSITU,IfcColumn PILASTER Stahlbeton NPK E C35/45 INSITU
1625,IfcColumn,PILASTER,Stahlbeton NPK F,,,,,IfcColumn PILASTER Stahlbeton NPK F,IfcColumn PILASTER Stahlbeton NPK F
1626,IfcColumn,PILASTER,Stahlbeton NPK F,C20/25,,,Ortbeton,IfcColumn PILASTER Stahlbeton NPK F C20/25 Ortbeton,IfcColumn PILASTER Stahlbeton NPK F C20/25 Ortbeton
1627,IfcColumn,PILASTER,Stahlbeton NPK F,C25/30,,,Ortbeton,IfcColumn PILASTER Stahlbeton NPK F C25/30 Ortbeton,IfcColumn PILASTER Stahlbeton NPK F C25/30 Ortbeton
1628,IfcColumn,PILASTER,Stahlbeton NPK F,C25/30,,,PRECAST,IfcColumn PILASTER Stahlbeton NPK F C25/30 PRECAST,IfcColumn PILASTER Stahlbeton NPK F C25/30 PRECAST
1629,IfcColumn,PILASTER,Stahlbeton NPK F,C40/50,,,PRECAST,IfcColumn PILASTER Stahlbeton NPK F C40/50 PRECAST,IfcColumn PILASTER Stahlbeton NPK F C40/50 PRECAST
1630,IfcColumn,PILASTER,Stahlbeton NPK G,,,,,IfcColumn PILASTER Stahlbeton NPK G,IfcColumn PILASTER Stahlbeton NPK G
1631,IfcColumn,PILASTER,Stahlbeton NPK G,C20/25,,,Fertigteil,IfcColumn PILASTER Stahlbeton NPK G C20/25 Fertigteil,IfcColumn PILASTER Stahlbeton NPK G C20/25 Fertigteil
1632,IfcColumn,STANDCOLUMN,,S235,,,,IfcColumn STANDCOLUMN S235,IfcColumn STANDCOLUMN S235
1633,IfcColumn,STANDCOLUMN,,S355,,,,IfcColumn STANDCOLUMN S355,IfcColumn STANDCOLUMN S355
1634,IfcColumn,STANDCOLUMN,,S460,,,,IfcColumn STANDCOLUMN S460,IfcColumn STANDCOLUMN S460
1635,IfcColumn,STANDCOLUMN,Stahl,,,,,IfcColumn STANDCOLUMN Stahl,IfcColumn STANDCOLUMN Stahl
1636,IfcColumn,STANDCOLUMN,Stahl,S235,,,,IfcColumn STANDCOLUMN Stahl S235,IfcColumn STANDCOLUMN Stahl S235
1637,IfcColumn,STANDCOLUMN,Stahl,S235J0,,,,IfcColumn STANDCOLUMN Stahl S235J0,IfcColumn STANDCOLUMN Stahl S235J0
1638,IfcColumn,STANDCOLUMN,Stahl,S235JR,,,,IfcColumn STANDCOLUMN Stahl S235JR,IfcColumn STANDCOLUMN Stahl S235JR
1639,IfcColumn,STANDCOLUMN,Stahl,S355,,,,IfcColumn STANDCOLUMN Stahl S355,IfcColumn STANDCOLUMN Stahl S355
1640,IfcColumn,STANDCOLUMN,Stahl,S355J0,,,,IfcColumn STANDCOLUMN Stahl S355J0,IfcColumn STANDCOLUMN Stahl S355J0
1641,IfcColumn,STANDCOLUMN,Stahl,S355JR,,,,IfcColumn STANDCOLUMN Stahl S355JR,IfcColumn STANDCOLUMN Stahl S355JR
1642,IfcColumn,STANDCOLUMN,Stahl,S460,,,,IfcColumn STANDCOLUMN Stahl S460,IfcColumn STANDCOLUMN Stahl S460
1643,IfcCourse,,Asphalt,,,,,IfcCourse Asphalt,IfcCourse Asphalt
1644,IfcCourse,,Beton,,,,,IfcCourse Beton,IfcCourse Beton
1645,IfcCourse,,Beton,,,,Fertigteil,IfcCourse Beton Fertigteil,IfcCourse Beton Fertigteil
1646,IfcCourse,,Beton,,,,INSITU,IfcCourse Beton INSITU,IfcCourse Beton INSITU
1647,IfcCourse,,Beton,,,,Ortbeton,IfcCourse Beton Ortbeton,IfcCourse Beton Ortbeton
1648,IfcCourse,,Beton,,,,PRECAST,IfcCourse Beton PRECAST,IfcCourse Beton PRECAST
1649,IfcCourse,,Beton,C12/15,,,,IfcCourse Beton C12/15,IfcCourse Beton C12/15
1650,IfcCourse,,Beton,C12/15,,,Ortbeton,IfcCourse Beton C12/15 Ortbeton,IfcCourse Beton C12/15 Ortbeton
1651,IfcCourse,,Beton,C16/20,,,,IfcCourse Beton C16/20,IfcCourse Beton C16/20
1652,IfcCourse,,Beton,C16/20,,,INSITU,IfcCourse Beton C16/20 INSITU,IfcCourse Beton C16/20 INSITU
1653,IfcCourse,,Beton,C20/25,,,,IfcCourse Beton C20/25,IfcCourse Beton C20/25
1654,IfcCourse,,Beton,C20/25,,,INSITU,IfcCourse Beton C20/25 INSITU,IfcCourse Beton C20/25 INSITU
1655,IfcCourse,,Beton,C20/25,,,PRECAST,IfcCourse Beton C20/25 PRECAST,IfcCourse Beton C20/25 PRECAST
1656,IfcCourse,,Beton,C25/30,,,,IfcCourse Beton C25/30,IfcCourse Beton C25/30
1657,IfcCourse,,Beton,C25/30,,,INSITU,IfcCourse Beton C25/30 INSITU,IfcCourse Beton C25/30 INSITU
1658,IfcCourse,,Beton,C25/30,,,PRECAST,IfcCourse Beton C25/30 PRECAST,IfcCourse Beton C25/30 PRECAST
1659,IfcCourse,,Beton,C30/37,,,,IfcCourse Beton C30/37,IfcCourse Beton C30/37
1660,IfcCourse,,Beton,C30/37,,,Ortbeton,IfcCourse Beton C30/37 Ortbeton,IfcCourse Beton C30/37 Ortbeton
1661,IfcCourse,,Beton,C30/37,,,PRECAST,IfcCourse Beton C30/37 PRECAST,IfcCourse Beton C30/37 PRECAST
1662,IfcCourse,,Beton,C35/45,,,,IfcCourse Beton C35/45,IfcCourse Beton C35/45
1663,IfcCourse,,Beton,C35/45,,,Fertigteil,IfcCourse Beton C35/45 Fertigteil,IfcCourse Beton C35/45 Fertigteil
1664,IfcCourse,,Beton,C35/45,,,INSITU,IfcCourse Beton C35/45 INSITU,IfcCourse Beton C35/45 INSITU
1665,IfcCourse,,Beton,C40/50,,,,IfcCourse Beton C40/50,IfcCourse Beton C40/50
1666,IfcCourse,,Beton,C40/50,,,INSITU,IfcCourse Beton C40/50 INSITU,IfcCourse Beton C40/50 INSITU
1667,IfcCourse,,Beton,C40/50,,,PRECAST,IfcCourse Beton C40/50 PRECAST,IfcCourse Beton C40/50 PRECAST
1668,IfcCourse,,Beton NPK D,,,,,IfcCourse Beton NPK D,IfcCourse Beton NPK D
1669,IfcCourse,,Beton NPK D,C40/50,,,PRECAST,IfcCourse Beton NPK D C40/50 PRECAST,IfcCourse Beton NPK D C40/50 PRECAST
1670,IfcCourse,,Beton NPK E,,,,,IfcCourse Beton NPK E,IfcCourse Beton NPK E
1671,IfcCourse,,Beton NPK E,C20/25,,,INSITU,IfcCourse Beton NPK E C20/25 INSITU,IfcCourse Beton NPK E C20/25 INSITU
1672,IfcCourse,,Beton NPK E,C25/30,,,INSITU,IfcCourse Beton NPK E C25/30 INSITU,IfcCourse Beton NPK E C25/30 INSITU
1673,IfcCourse,,Beton NPK E,C30/37,,,Ortbeton,IfcCourse Beton NPK E C30/37 Ortbeton,IfcCourse Beton NPK E C30/37 Ortbeton
1674,IfcCourse,,Beton NPK E,C35/45,,,INSITU,IfcCourse Beton NPK E C35/45 INSITU,IfcCourse Beton NPK E C35/45 INSITU
1675,IfcCourse,,Beton NPK F,,,,,IfcCourse Beton NPK F,IfcCourse Beton NPK F
1676,IfcCourse,,Beton NPK F,C20/25,,,PRECAST,IfcCourse Beton NPK F C20/25 PRECAST,IfcCourse Beton NPK F C20/25 PRECAST
1677,IfcCourse,,Beton NPK F,C30/37,,,PRECAST,IfcCourse Beton NPK F C30/37 PRECAST,IfcCourse Beton NPK F C30/37 PRECAST
1678,IfcCourse,,Beton NPK F,C35/45,,,Fertigteil,IfcCourse Beton NPK F C35/45 Fertigteil,IfcCourse Beton NPK F C35/45 Fertigteil
1679,IfcCourse,,Beton NPK G,,,,,IfcCourse Beton NPK G,IfcCourse Beton NPK G
1680,IfcCourse,,Beton NPK G,C25/30,,,PRECAST,IfcCourse Beton NPK G C25/30 PRECAST,IfcCourse Beton NPK G C25/30 PRECAST
1681,IfcCourse,,Beton NPK G,C40/50,,,INSITU,IfcCourse Beton NPK G C40/50 INSITU,IfcCourse Beton NPK G C40/50 INSITU
1682,IfcCourse,,Bitumen,,,,,IfcCourse Bitumen,IfcCourse Bitumen
1683,IfcCourse,,Erdmaterial,,,,,IfcCourse Erdmaterial,IfcCourse Erdmaterial
1684,IfcCourse,,Gestein,,,,,IfcCourse Gestein,IfcCourse Gestein
1685,IfcCourse,,Kies,,,,,IfcCourse Kies,IfcCourse Kies
1686,IfcCourse,,Kies-Sand-Gemisch,,,,,IfcCourse Kies-Sand-Gemisch,IfcCourse Kies-Sand-Gemisch
1687,IfcCourse,,Magerbeton,,,,,IfcCourse Magerbeton,IfcCourse Magerbeton
1688,IfcCourse,,Magerbeton,C12/15,,,,IfcCourse Magerbeton C12/15,IfcCourse Magerbeton C12/15
1689,IfcCourse,,Magerbeton,C16/20,,,,IfcCourse Magerbeton C16/20,IfcCourse Magerbeton C16/20
1690,IfcCourse,,Mauerwerk,,,,,IfcCourse Mauerwerk,IfcCourse Mauerwerk
1691,IfcCourse,,Mineralischer_Filter,,,,,IfcCourse Mineralischer Filter,IfcCourse Mineralischer Filter
1692,IfcCourse,,Naturstein,,,,,IfcCourse Naturstein,IfcCourse Naturstein
1693,IfcCourse,,Schotter,,,,,IfcCourse Schotter,IfcCourse Schotter
1694,IfcCourse,,Stahlbeton,,,,,IfcCourse Stahlbeton,IfcCourse Stahlbeton
1695,IfcCourse,,Stahlbeton,,,,Fertigteil,IfcCourse Stahlbeton Fertigteil,IfcCourse Stahlbeton Fertigteil
1696,IfcCourse,,Stahlbeton,,,,INSITU,IfcCourse Stahlbeton INSITU,IfcCourse Stahlbeton INSITU
1697,IfcCourse,,Stahlbeton,,,,Ortbeton,IfcCourse Stahlbeton Ortbeton,IfcCourse Stahlbeton Ortbeton
1698,IfcCourse,,Stahlbeton,,,,PRECAST,IfcCourse Stahlbeton PRECAST,IfcCourse Stahlbeton PRECAST
1699,IfcCourse,,Stahlbeton,C20/25,,,,IfcCourse Stahlbeton C20/25,IfcCourse Stahlbeton C20/25
1700,IfcCourse,,Stahlbeton,C20/25,,,INSITU,IfcCourse Stahlbeton C20/25 INSITU,IfcCourse Stahlbeton C20/25 INSITU
1701,IfcCourse,,Stahlbeton,C20/25,,,PRECAST,IfcCourse Stahlbeton C20/25 PRECAST,IfcCourse Stahlbeton C20/25 PRECAST
1702,IfcCourse,,Stahlbeton,C25/30,,,,IfcCourse Stahlbeton C25/30,IfcCourse Stahlbeton C25/30
1703,IfcCourse,,Stahlbeton,C25/30,,,INSITU,IfcCourse Stahlbeton C25/30 INSITU,IfcCourse Stahlbeton C25/30 INSITU
1704,IfcCourse,,Stahlbeton,C25/30,,,PRECAST,IfcCourse Stahlbeton C25/30 PRECAST,IfcCourse Stahlbeton C25/30 PRECAST
1705,IfcCourse,,Stahlbeton,C30/37,,,,IfcCourse Stahlbeton C30/37,IfcCourse Stahlbeton C30/37
1706,IfcCourse,,Stahlbeton,C30/37,,,Ortbeton,IfcCourse Stahlbeton C30/37 Ortbeton,IfcCourse Stahlbeton C30/37 Ortbeton
1707,IfcCourse,,Stahlbeton,C30/37,,,PRECAST,IfcCourse Stahlbeton C30/37 PRECAST,IfcCourse Stahlbeton C30/37 PRECAST
1708,IfcCourse,,Stahlbeton,C35/45,,,,IfcCourse Stahlbeton C35/45,IfcCourse Stahlbeton C35/45
1709,IfcCourse,,Stahlbeton,C35/45,,,Fertigteil,IfcCourse Stahlbeton C35/45 Fertigteil,IfcCourse Stahlbeton C35/45 Fertigteil
1710,IfcCourse,,Stahlbeton,C35/45,,,INSITU,IfcCourse Stahlbeton C35/45 INSITU,IfcCourse Stahlbeton C35/45 INSITU
1711,IfcCourse,,Stahlbeton,C40/50,,,,IfcCourse Stahlbeton C40/50,IfcCourse Stahlbeton C40/50
1712,IfcCourse,,Stahlbeton,C40/50,,,INSITU,IfcCourse Stahlbeton C40/50 INSITU,IfcCourse Stahlbeton C40/50 INSITU
1713,IfcCourse,,Stahlbeton,C40/50,,,PRECAST,IfcCourse Stahlbeton C40/50 PRECAST,IfcCourse Stahlbeton C40/50 PRECAST
1714,IfcCourse,,Stahlbeton NPK D,,,,,IfcCourse Stahlbeton NPK D,IfcCourse Stahlbeton NPK D
1715,IfcCourse,,Stahlbeton NPK D,C25/30,,,PRECAST,IfcCourse Stahlbeton NPK D C25/30 PRECAST,IfcCourse Stahlbeton NPK D C25/30 PRECAST
1716,IfcCourse,,Stahlbeton NPK E,,,,,IfcCourse Stahlbeton NPK E,IfcCourse Stahlbeton NPK E
1717,IfcCourse,,Stahlbeton NPK E,C30/37,,,Ortbeton,IfcCourse Stahlbeton NPK E C30/37 Ortbeton,IfcCourse Stahlbeton NPK E C30/37 Ortbeton
1718,IfcCourse,,Stahlbeton NPK E,C35/45,,,INSITU,IfcCourse Stahlbeton NPK E C35/45 INSITU,IfcCourse Stahlbeton NPK E C35/45 INSITU
1719,IfcCourse,,Stahlbeton NPK E,C40/50,,,PRECAST,IfcCourse Stahlbeton NPK E C40/50 PRECAST,IfcCourse Stahlbeton NPK E C40/50 PRECAST
1720,IfcCourse,,Stahlbeton NPK F,,,,,IfcCourse Stahlbeton NPK F,IfcCourse Stahlbeton NPK F
1721,IfcCourse,,Stahlbeton NPK F,C20/25,,,INSITU,IfcCourse Stahlbeton NPK F C20/25 INSITU,IfcCourse Stahlbeton NPK F C20/25 INSITU
1722,IfcCourse,,Stahlbeton NPK F,C25/30,,,INSITU,IfcCourse Stahlbeton NPK F C25/30 INSITU,IfcCourse Stahlbeton NPK F C25/30 INSITU
1723,IfcCourse,,Stahlbeton NPK G,,,,,IfcCourse Stahlbeton NPK G,IfcCourse Stahlbeton NPK G
1724,IfcCourse,,Stahlbeton NPK G,C20/25,,,PRECAST,IfcCourse Stahlbeton NPK G C20/25 PRECAST,IfcCourse Stahlbeton NPK G C20/25 PRECAST
1725,IfcCourse,,Stahlbeton NPK G,C30/37,,,PRECAST,IfcCourse Stahlbeton NPK G C30/37 PRECAST,IfcCourse Stahlbeton NPK G C30/37 PRECAST
1726,IfcCourse,,Stahlbeton NPK G,C35/45,,,Fertigteil,IfcCourse Stahlbeton NPK G C35/45 Fertigteil,IfcCourse Stahlbeton NPK G C35/45 Fertigteil
1727,IfcCourse,,Stahlbeton NPK G,C40/50,,,INSITU,IfcCourse Stahlbeton NPK G C40/50 INSITU,IfcCourse Stahlbeton NPK G C40/50 INSITU
1728,IfcCourse,ARMOUR,Aggregate,,,,,IfcCourse ARMOUR Aggregate,IfcCourse ARMOUR Aggregate
1729,IfcCourse,ARMOUR,Beton,,,,,IfcCourse ARMOUR Beton,IfcCourse ARMOUR Beton
1730,IfcCourse,ARMOUR,Beton,,,,Fertigteil,IfcCourse ARMOUR Beton Fertigteil,IfcCourse ARMOUR Beton Fertigteil
1731,IfcCourse,ARMOUR,Beton,,,,INSITU,IfcCourse ARMOUR Beton INSITU,IfcCourse ARMOUR Beton INSITU
1732,IfcCourse,ARMOUR,Beton,,,,Ortbeton,IfcCourse ARMOUR Beton Ortbeton,IfcCourse ARMOUR Beton Ortbeton
1733,IfcCourse,ARMOUR,Beton,,,,PRECAST,IfcCourse ARMOUR Beton PRECAST,IfcCourse ARMOUR Beton PRECAST
1734,IfcCourse,ARMOUR,Beton,C12/15,,,,IfcCourse ARMOUR Beton C12/15,IfcCourse ARMOUR Beton C12/15
1735,IfcCourse,ARMOUR,Beton,C12/15,,,Ortbeton,IfcCourse ARMOUR Beton C12/15 Ortbeton,IfcCourse ARMOUR Beton C12/15 Ortbeton
1736,IfcCourse,ARMOUR,Beton,C16/20,,,,IfcCourse ARMOUR Beton C16/20,IfcCourse ARMOUR Beton C16/20
1737,IfcCourse,ARMOUR,Beton,C16/20,,,INSITU,IfcCourse ARMOUR Beton C16/20 INSITU,IfcCourse ARMOUR Beton C16/20 INSITU
1738,IfcCourse,ARMOUR,Beton,C20/25,,,,IfcCourse ARMOUR Beton C20/25,IfcCourse ARMOUR Beton C20/25
1739,IfcCourse,ARMOUR,Beton,C20/25,,,Fertigteil,IfcCourse ARMOUR Beton C20/25 Fertigteil,IfcCourse ARMOUR Beton C20/25 Fertigteil
1740,IfcCourse,ARMOUR,Beton,C20/25,,,Ortbeton,IfcCourse ARMOUR Beton C20/25 Ortbeton,IfcCourse ARMOUR Beton C20/25 Ortbeton
1741,IfcCourse,ARMOUR,Beton,C25/30,,,,IfcCourse ARMOUR Beton C25/30,IfcCourse ARMOUR Beton C25/30
1742,IfcCourse,ARMOUR,Beton,C25/30,,,Fertigteil,IfcCourse ARMOUR Beton C25/30 Fertigteil,IfcCourse ARMOUR Beton C25/30 Fertigteil
1743,IfcCourse,ARMOUR,Beton,C25/30,,,Ortbeton,IfcCourse ARMOUR Beton C25/30 Ortbeton,IfcCourse ARMOUR Beton C25/30 Ortbeton
1744,IfcCourse,ARMOUR,Beton,C30/37,,,,IfcCourse ARMOUR Beton C30/37,IfcCourse ARMOUR Beton C30/37
1745,IfcCourse,ARMOUR,Beton,C30/37,,,INSITU,IfcCourse ARMOUR Beton C30/37 INSITU,IfcCourse ARMOUR Beton C30/37 INSITU
1746,IfcCourse,ARMOUR,Beton,C30/37,,,PRECAST,IfcCourse ARMOUR Beton C30/37 PRECAST,IfcCourse ARMOUR Beton C30/37 PRECAST
1747,IfcCourse,ARMOUR,Beton,C35/45,,,,IfcCourse ARMOUR Beton C35/45,IfcCourse ARMOUR Beton C35/45
1748,IfcCourse,ARMOUR,Beton,C35/45,,,Ortbeton,IfcCourse ARMOUR Beton C35/45 Ortbeton,IfcCourse ARMOUR Beton C35/45 Ortbeton
1749,IfcCourse,ARMOUR,Beton,C35/45,,,PRECAST,IfcCourse ARMOUR Beton C35/45 PRECAST,IfcCourse ARMOUR Beton C35/45 PRECAST
1750,IfcCourse,ARMOUR,Beton,C40/50,,,,IfcCourse ARMOUR Beton C40/50,IfcCourse ARMOUR Beton C40/50
1751,IfcCourse,ARMOUR,Beton,C40/50,,,INSITU,IfcCourse ARMOUR Beton C40/50 INSITU,IfcCourse ARMOUR Beton C40/50 INSITU
1752,IfcCourse,ARMOUR,Beton,C40/50,,,PRECAST,IfcCourse ARMOUR Beton C40/50 PRECAST,IfcCourse ARMOUR Beton C40/50 PRECAST
1753,IfcCourse,ARMOUR,Beton NPK D,,,,,IfcCourse ARMOUR Beton NPK D,IfcCourse ARMOUR Beton NPK D
1754,IfcCourse,ARMOUR,Beton NPK D,C30/37,,,PRECAST,IfcCourse ARMOUR Beton NPK D C30/37 PRECAST,IfcCourse ARMOUR Beton NPK D C30/37 PRECAST
1755,IfcCourse,ARMOUR,Beton NPK D,C40/50,,,PRECAST,IfcCourse ARMOUR Beton NPK D C40/50 PRECAST,IfcCourse ARMOUR Beton NPK D C40/50 PRECAST
1756,IfcCourse,ARMOUR,Beton NPK E,,,,,IfcCourse ARMOUR Beton NPK E,IfcCourse ARMOUR Beton NPK E
1757,IfcCourse,ARMOUR,Beton NPK E,C40/50,,,INSITU,IfcCourse ARMOUR Beton NPK E C40/50 INSITU,IfcCourse ARMOUR Beton NPK E C40/50 INSITU
1758,IfcCourse,ARMOUR,Beton NPK F,,,,,IfcCourse ARMOUR Beton NPK F,IfcCourse ARMOUR Beton NPK F
1759,IfcCourse,ARMOUR,Beton NPK F,C20/25,,,Fertigteil,IfcCourse ARMOUR Beton NPK F C20/25 Fertigteil,IfcCourse ARMOUR Beton NPK F C20/25 Fertigteil
1760,IfcCourse,ARMOUR,Beton NPK F,C20/25,,,Ortbeton,IfcCourse ARMOUR Beton NPK F C20/25 Ortbeton,IfcCourse ARMOUR Beton NPK F C20/25 Ortbeton
1761,IfcCourse,ARMOUR,Beton NPK F,C25/30,,,Fertigteil,IfcCourse ARMOUR Beton NPK F C25/30 Fertigteil,IfcCourse ARMOUR Beton NPK F C25/30 Fertigteil
1762,IfcCourse,ARMOUR,Beton NPK F,C25/30,,,Ortbeton,IfcCourse ARMOUR Beton NPK F C25/30 Ortbeton,IfcCourse ARMOUR Beton NPK F C25/30 Ortbeton
1763,IfcCourse,ARMOUR,Beton NPK F,C30/37,,,INSITU,IfcCourse ARMOUR Beton NPK F C30/37 INSITU,IfcCourse ARMOUR Beton NPK F C30/37 INSITU
1764,IfcCourse,ARMOUR,Beton NPK G,,,,,IfcCourse ARMOUR Beton NPK G,IfcCourse ARMOUR Beton NPK G
1765,IfcCourse,ARMOUR,Beton NPK G,C35/45,,,Ortbeton,IfcCourse ARMOUR Beton NPK G C35/45 Ortbeton,IfcCourse ARMOUR Beton NPK G C35/45 Ortbeton
1766,IfcCourse,ARMOUR,Beton NPK G,C35/45,,,PRECAST,IfcCourse ARMOUR Beton NPK G C35/45 PRECAST,IfcCourse ARMOUR Beton NPK G C35/45 PRECAST
1767,IfcCourse,ARMOUR,Gestein,,,,,IfcCourse ARMOUR Gestein,IfcCourse ARMOUR Gestein
1768,IfcCourse,ARMOUR,Naturstein,,,,,IfcCourse ARMOUR Naturstein,IfcCourse ARMOUR Naturstein
1769,IfcCourse,ARMOUR,Schotter,,,,,IfcCourse ARMOUR Schotter,IfcCourse ARMOUR Schotter
1770,IfcCourse,ARMOUR,Stahlbeton,,,,,IfcCourse ARMOUR Stahlbeton,IfcCourse ARMOUR Stahlbeton
1771,IfcCourse,ARMOUR,Stahlbeton,,,,Fertigteil,IfcCourse ARMOUR Stahlbeton Fertigteil,IfcCourse ARMOUR Stahlbeton Fertigteil
1772,IfcCourse,ARMOUR,Stahlbeton,,,,INSITU,IfcCourse ARMOUR Stahlbeton INSITU,IfcCourse ARMOUR Stahlbeton INSITU
1773,IfcCourse,ARMOUR,Stahlbeton,,,,Ortbeton,IfcCourse ARMOUR Stahlbeton Ortbeton,IfcCourse ARMOUR Stahlbeton Ortbeton
