line_number,query,baseline_mapping,new_mapping,change_state,mapping_state
954,IfcBuiltElement Beton C16/20,Magerbeton,Magerbeton,unchanged,non-empty
955,IfcBuiltElement Beton C16/20 INSITU,Magerbeton,Magerbeton,unchanged,non-empty
956,IfcBuiltElement Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
957,IfcBuiltElement Beton C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
958,IfcBuiltElement Beton C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
959,IfcBuiltElement Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
960,IfcBuiltElement Beton C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
961,IfcBuiltElement Beton C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
962,IfcBuiltElement Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
963,IfcBuiltElement Beton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
964,IfcBuiltElement Beton C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
965,IfcBuiltElement Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
966,IfcBuiltElement Beton C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
967,IfcBuiltElement Beton C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
968,IfcBuiltElement Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
969,IfcBuiltElement Beton C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
970,IfcBuiltElement Beton C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
971,IfcBuiltElement Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
972,IfcBuiltElement Beton NPK D C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
973,IfcBuiltElement Beton NPK D C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
974,IfcBuiltElement Beton NPK D C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
975,IfcBuiltElement Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
976,IfcBuiltElement Beton NPK E C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
977,IfcBuiltElement Beton NPK E C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
978,IfcBuiltElement Beton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
979,IfcBuiltElement Beton NPK F C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
980,IfcBuiltElement Beton NPK F C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
981,IfcBuiltElement Beton NPK F C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
982,IfcBuiltElement Beton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
983,IfcBuiltElement Beton NPK G C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
984,IfcBuiltElement Beton NPK G C35/45 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
985,IfcBuiltElement Bitumen,Dichtungsbahn bituminös,Dichtungsbahn bituminös,unchanged,non-empty
986,IfcBuiltElement Buche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
987,IfcBuiltElement Eiche,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,Massivholz Buche Eiche kammergetrocknet gehobelt | Massivholz Buche Eiche kammergetrocknet rau | Massivholz Buche Eiche luftgetrocknet rau,unchanged,non-empty
988,IfcBuiltElement Fichte,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
989,IfcBuiltElement Holz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,Balkenschichtholz | Brettschichtholz | Brettsperrholz | Konstruktionsvollholz,unchanged,non-empty
990,IfcBuiltElement Kunststoff,Polyethylen PE | Polypropylen PP | Polyvinylchlorid PVC | Polyurethan PUR PIR,Polyethylen PE | Polypropylen PP | Polyvinylchlorid PVC | Polyurethan PUR PIR,unchanged,non-empty
991,IfcBuiltElement Lärche,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
992,IfcBuiltElement Magerbeton,Magerbeton,Magerbeton,unchanged,non-empty
993,IfcBuiltElement Magerbeton C12/15,Magerbeton,Magerbeton,unchanged,non-empty
994,IfcBuiltElement Magerbeton C16/20,Magerbeton,Magerbeton,unchanged,non-empty
995,IfcBuiltElement Mauerwerk,Backstein | Kalksandstein | Betonziegel,Backstein | Kalksandstein | Betonziegel,unchanged,non-empty
996,IfcBuiltElement Stahl,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
997,IfcBuiltElement Stahl S235,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
998,IfcBuiltElement Stahl S235J0,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
999,IfcBuiltElement Stahl S235JR,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1000,IfcBuiltElement Stahl S355,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1001,IfcBuiltElement Stahl S355J0,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1002,IfcBuiltElement Stahl S355JR,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1003,IfcBuiltElement Stahl S460,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1004,IfcBuiltElement Stahlbeton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1005,IfcBuiltElement Stahlbeton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1006,IfcBuiltElement Stahlbeton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1007,IfcBuiltElement Stahlbeton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1008,IfcBuiltElement Stahlbeton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1009,IfcBuiltElement Stahlbeton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1010,IfcBuiltElement Stahlbeton C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1011,IfcBuiltElement Stahlbeton C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1012,IfcBuiltElement Stahlbeton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1013,IfcBuiltElement Stahlbeton C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1014,IfcBuiltElement Stahlbeton C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1015,IfcBuiltElement Stahlbeton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1016,IfcBuiltElement Stahlbeton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1017,IfcBuiltElement Stahlbeton C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1018,IfcBuiltElement Stahlbeton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1019,IfcBuiltElement Stahlbeton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1020,IfcBuiltElement Stahlbeton C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1021,IfcBuiltElement Stahlbeton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1022,IfcBuiltElement Stahlbeton C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1023,IfcBuiltElement Stahlbeton C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1024,IfcBuiltElement Stahlbeton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1025,IfcBuiltElement Stahlbeton NPK D C25/30 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1026,IfcBuiltElement Stahlbeton NPK D C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1027,IfcBuiltElement Stahlbeton NPK D C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1028,IfcBuiltElement Stahlbeton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1029,IfcBuiltElement Stahlbeton NPK E C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1030,IfcBuiltElement Stahlbeton NPK E C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1031,IfcBuiltElement Stahlbeton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1032,IfcBuiltElement Stahlbeton NPK F C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1033,IfcBuiltElement Stahlbeton NPK F C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1034,IfcBuiltElement Stahlbeton NPK F C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1035,IfcBuiltElement Stahlbeton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1036,IfcBuiltElement Stahlbeton NPK G C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1037,IfcBuiltElement Stahlbeton NPK G C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1038,IfcBuiltElement Tanne,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,Konstruktionsvollholz | Massivholz Fichte Tanne Lärche kammergetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet gehobelt | Massivholz Fichte Tanne Lärche luftgetrocknet rau,unchanged,non-empty
1039,IfcCaissonFoundation S235,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1040,IfcCaissonFoundation S355,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1041,IfcCaissonFoundation S460,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1042,IfcCaissonFoundation Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1043,IfcCaissonFoundation Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1044,IfcCaissonFoundation Beton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1045,IfcCaissonFoundation Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1046,IfcCaissonFoundation Beton PRECAST,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1047,IfcCaissonFoundation Beton C12/15,Magerbeton,Magerbeton,unchanged,non-empty
1048,IfcCaissonFoundation Beton C12/15 Ortbeton,Magerbeton,Magerbeton,unchanged,non-empty
1049,IfcCaissonFoundation Beton C16/20,Magerbeton,Magerbeton,unchanged,non-empty
1050,IfcCaissonFoundation Beton C16/20 INSITU,Magerbeton,Magerbeton,unchanged,non-empty
1051,IfcCaissonFoundation Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1052,IfcCaissonFoundation Beton C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1053,IfcCaissonFoundation Beton C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1054,IfcCaissonFoundation Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1055,IfcCaissonFoundation Beton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1056,IfcCaissonFoundation Beton C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1057,IfcCaissonFoundation Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1058,IfcCaissonFoundation Beton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1059,IfcCaissonFoundation Beton C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1060,IfcCaissonFoundation Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1061,IfcCaissonFoundation Beton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1062,IfcCaissonFoundation Beton C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1063,IfcCaissonFoundation Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1064,IfcCaissonFoundation Beton C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1065,IfcCaissonFoundation Beton C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1066,IfcCaissonFoundation Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1067,IfcCaissonFoundation Beton NPK D C20/25 PRECAST,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1068,IfcCaissonFoundation Beton NPK D C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1069,IfcCaissonFoundation Beton NPK D C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1070,IfcCaissonFoundation Beton NPK D C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1071,IfcCaissonFoundation Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1072,IfcCaissonFoundation Beton NPK E C30/37 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1073,IfcCaissonFoundation Beton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1074,IfcCaissonFoundation Beton NPK F C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1075,IfcCaissonFoundation Beton NPK F C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1076,IfcCaissonFoundation Beton NPK F C40/50 PRECAST,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1077,IfcCaissonFoundation Beton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1078,IfcCaissonFoundation Beton NPK G C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1079,IfcCaissonFoundation Beton NPK G C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1080,IfcCaissonFoundation Stahl,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1081,IfcCaissonFoundation Stahl S235,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1082,IfcCaissonFoundation Stahl S235J0,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1083,IfcCaissonFoundation Stahl S235JR,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1084,IfcCaissonFoundation Stahl S355,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1085,IfcCaissonFoundation Stahl S355J0,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1086,IfcCaissonFoundation Stahl S355JR,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1087,IfcCaissonFoundation Stahl S460,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1088,IfcCaissonFoundation Stahlbeton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1089,IfcCaissonFoundation Stahlbeton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1090,IfcCaissonFoundation Stahlbeton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1091,IfcCaissonFoundation Stahlbeton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1092,IfcCaissonFoundation Stahlbeton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1093,IfcCaissonFoundation Stahlbeton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1094,IfcCaissonFoundation Stahlbeton C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1095,IfcCaissonFoundation Stahlbeton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1096,IfcCaissonFoundation Stahlbeton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1097,IfcCaissonFoundation Stahlbeton C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1098,IfcCaissonFoundation Stahlbeton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1099,IfcCaissonFoundation Stahlbeton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1100,IfcCaissonFoundation Stahlbeton C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1101,IfcCaissonFoundation Stahlbeton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1102,IfcCaissonFoundation Stahlbeton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1103,IfcCaissonFoundation Stahlbeton C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1104,IfcCaissonFoundation Stahlbeton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1105,IfcCaissonFoundation Stahlbeton C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1106,IfcCaissonFoundation Stahlbeton C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1107,IfcCaissonFoundation Stahlbeton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1108,IfcCaissonFoundation Stahlbeton NPK D C25/30 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1109,IfcCaissonFoundation Stahlbeton NPK D C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1110,IfcCaissonFoundation Stahlbeton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1111,IfcCaissonFoundation Stahlbeton NPK E C20/25 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1112,IfcCaissonFoundation Stahlbeton NPK F,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1113,IfcCaissonFoundation Stahlbeton NPK F C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1114,IfcCaissonFoundation Stahlbeton NPK F C35/45 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1115,IfcCaissonFoundation Stahlbeton NPK F C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1116,IfcCaissonFoundation Stahlbeton NPK F C40/50 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1117,IfcCaissonFoundation Stahlbeton NPK G,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1118,IfcCaissonFoundation Stahlbeton NPK G C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1119,IfcCaissonFoundation Stahlbeton NPK G C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1120,IfcCaissonFoundation Stahlbeton NPK G C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1121,IfcCaissonFoundation CAISSON S235,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1122,IfcCaissonFoundation CAISSON S355,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1123,IfcCaissonFoundation CAISSON S460,Stahlblech blank | Stahlprofil blank,Stahlblech blank | Stahlprofil blank,unchanged,non-empty
1124,IfcCaissonFoundation CAISSON Beton,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1125,IfcCaissonFoundation CAISSON Beton Fertigteil,Betonfertigteil normalfest | Betonfertigteil hochfest,Betonfertigteil normalfest | Betonfertigteil hochfest,unchanged,non-empty
1126,IfcCaissonFoundation CAISSON Beton INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1127,IfcCaissonFoundation CAISSON Beton Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1128,IfcCaissonFoundation CAISSON Beton C12/15,Magerbeton,Magerbeton,unchanged,non-empty
1129,IfcCaissonFoundation CAISSON Beton C12/15 Ortbeton,Magerbeton,Magerbeton,unchanged,non-empty
1130,IfcCaissonFoundation CAISSON Beton C16/20,Magerbeton,Magerbeton,unchanged,non-empty
1131,IfcCaissonFoundation CAISSON Beton C16/20 INSITU,Magerbeton,Magerbeton,unchanged,non-empty
1132,IfcCaissonFoundation CAISSON Beton C20/25,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1133,IfcCaissonFoundation CAISSON Beton C20/25 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1134,IfcCaissonFoundation CAISSON Beton C20/25 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1135,IfcCaissonFoundation CAISSON Beton C25/30,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1136,IfcCaissonFoundation CAISSON Beton C25/30 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1137,IfcCaissonFoundation CAISSON Beton C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1138,IfcCaissonFoundation CAISSON Beton C30/37,Tiefbaubeton | Betonfertigteil normalfest,Tiefbaubeton | Betonfertigteil normalfest,unchanged,non-empty
1139,IfcCaissonFoundation CAISSON Beton C30/37 Fertigteil,Betonfertigteil normalfest,Betonfertigteil normalfest,unchanged,non-empty
1140,IfcCaissonFoundation CAISSON Beton C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1141,IfcCaissonFoundation CAISSON Beton C35/45,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1142,IfcCaissonFoundation CAISSON Beton C35/45 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1143,IfcCaissonFoundation CAISSON Beton C35/45 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1144,IfcCaissonFoundation CAISSON Beton C40/50,Tiefbaubeton | Betonfertigteil hochfest,Tiefbaubeton | Betonfertigteil hochfest,unchanged,non-empty
1145,IfcCaissonFoundation CAISSON Beton C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1146,IfcCaissonFoundation CAISSON Beton C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1147,IfcCaissonFoundation CAISSON Beton NPK D,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1148,IfcCaissonFoundation CAISSON Beton NPK D C25/30 INSITU,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1149,IfcCaissonFoundation CAISSON Beton NPK D C30/37 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1150,IfcCaissonFoundation CAISSON Beton NPK D C40/50 Fertigteil,Betonfertigteil hochfest,Betonfertigteil hochfest,unchanged,non-empty
1151,IfcCaissonFoundation CAISSON Beton NPK D C40/50 Ortbeton,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
1152,IfcCaissonFoundation CAISSON Beton NPK E,Tiefbaubeton,Tiefbaubeton,unchanged,non-empty
